,open,high,low,close,volume,date
0,140.2000,140.2000,140.2000,140.2000,100,2023-01-18 18:40:00
1,140.2000,140.2400,140.2000,140.2400,776,2023-01-18 18:25:00
2,140.4100,140.4100,140.4100,140.4100,310,2023-01-18 18:20:00
3,140.4100,140.4100,140.4100,140.4100,200,2023-01-18 18:15:00
4,140.2200,140.2200,140.2100,140.2100,444,2023-01-18 17:20:00
5,140.2100,140.3100,140.1300,140.1300,2651,2023-01-18 17:00:00
6,140.1000,140.1000,140.1000,140.1000,109,2023-01-18 16:15:00
7,140.4100,140.4100,140.4100,140.4100,84821,2023-01-18 16:05:00
8,140.4500,140.4900,140.2250,140.3600,474137,2023-01-18 16:00:00
9,140.4000,140.5800,140.3900,140.4500,215326,2023-01-18 15:55:00
10,140.4200,140.5500,140.2900,140.4000,130429,2023-01-18 15:50:00
11,140.6600,140.6650,140.3800,140.4150,110946,2023-01-18 15:45:00
12,140.8400,140.8600,140.6600,140.6621,84058,2023-01-18 15:40:00
13,141.0600,141.1200,140.8300,140.8300,66776,2023-01-18 15:35:00
14,141.2550,141.2665,141.0700,141.0800,66796,2023-01-18 15:30:00
15,141.4200,141.5000,141.2300,141.2600,36931,2023-01-18 15:25:00
16,141.2600,141.4400,141.2390,141.4350,51459,2023-01-18 15:20:00
17,141.2200,141.3100,141.1900,141.2550,44989,2023-01-18 15:15:00
18,141.1850,141.2600,141.1600,141.2000,44081,2023-01-18 15:10:00
19,141.2400,141.2400,141.0950,141.1800,43815,2023-01-18 15:05:00
20,141.2300,141.3000,141.2000,141.2500,28651,2023-01-18 15:00:00
21,141.3050,141.3350,141.2300,141.2400,39465,2023-01-18 14:55:00
22,141.4000,141.4000,141.2700,141.3000,28512,2023-01-18 14:50:00
23,141.4450,141.5073,141.4000,141.4200,25224,2023-01-18 14:45:00
24,141.5000,141.5050,141.4250,141.4500,36730,2023-01-18 14:40:00
25,141.6500,141.7400,141.5100,141.5200,51401,2023-01-18 14:35:00
26,141.7150,141.7400,141.6466,141.6616,35987,2023-01-18 14:30:00
27,141.4000,141.7200,141.4000,141.7200,33838,2023-01-18 14:25:00
28,141.3900,141.4300,141.3502,141.3900,26564,2023-01-18 14:20:00
29,141.3200,141.5459,141.3107,141.4000,33514,2023-01-18 14:15:00
30,141.2600,141.3700,141.1400,141.3300,23896,2023-01-18 14:10:00
31,141.2450,141.3000,141.1300,141.2500,29353,2023-01-18 14:05:00
32,141.3600,141.3600,141.1800,141.2350,35450,2023-01-18 14:00:00
33,141.0650,141.3900,141.0500,141.3750,38458,2023-01-18 13:55:00
34,140.8900,141.1100,140.8700,141.0700,72762,2023-01-18 13:50:00
35,141.0300,141.0812,140.8500,140.8901,47983,2023-01-18 13:45:00
36,140.8300,141.1700,140.8300,141.0201,42239,2023-01-18 13:40:00
37,140.7400,140.9300,140.7200,140.8300,40572,2023-01-18 13:35:00
38,140.7600,140.8400,140.7100,140.7300,42817,2023-01-18 13:30:00
39,140.7300,140.8000,140.6800,140.7700,33086,2023-01-18 13:25:00
40,140.9100,140.9100,140.5000,140.7400,50788,2023-01-18 13:20:00
41,140.8500,140.9700,140.8300,140.9200,70726,2023-01-18 13:15:00
42,140.7100,140.8700,140.6800,140.8600,81096,2023-01-18 13:10:00
43,140.8300,140.8900,140.7110,140.7110,59445,2023-01-18 13:05:00
44,140.7200,140.8900,140.7200,140.8200,27490,2023-01-18 13:00:00
45,140.8000,140.8000,140.6000,140.7199,51578,2023-01-18 12:55:00
46,140.7150,140.8353,140.6700,140.8147,29797,2023-01-18 12:50:00
47,140.8500,140.8800,140.7100,140.7201,36104,2023-01-18 12:45:00
48,140.8300,140.9800,140.8200,140.8800,39531,2023-01-18 12:40:00
49,140.6500,140.8400,140.5550,140.8200,55865,2023-01-18 12:35:00
50,140.8700,140.8700,140.5800,140.6350,46534,2023-01-18 12:30:00
51,141.0650,141.0700,140.8628,140.8900,69254,2023-01-18 12:25:00
52,141.4600,141.4602,141.0500,141.0500,60232,2023-01-18 12:20:00
53,141.3100,141.4900,141.2500,141.4600,32155,2023-01-18 12:15:00
54,141.3500,141.4100,141.2600,141.3200,62990,2023-01-18 12:10:00
55,141.4600,141.4900,141.2000,141.3350,53374,2023-01-18 12:05:00
56,141.4900,141.5700,141.3700,141.4600,55105,2023-01-18 12:00:00
57,141.8400,141.9400,141.4700,141.5000,45057,2023-01-18 11:55:00
58,141.8400,141.9200,141.6300,141.8400,74743,2023-01-18 11:50:00
59,142.0050,142.0200,141.8200,141.8600,45225,2023-01-18 11:45:00
60,142.0200,143.9900,141.8650,142.0000,88373,2023-01-18 11:40:00
61,142.1400,142.1550,141.9900,142.0200,83465,2023-01-18 11:35:00
62,142.2800,142.4700,142.1500,142.1500,58271,2023-01-18 11:30:00
63,142.4400,142.4700,142.2041,142.2800,61256,2023-01-18 11:25:00
64,142.9150,142.9150,142.4300,142.4500,73452,2023-01-18 11:20:00
65,143.1952,143.1952,142.8800,142.9299,62055,2023-01-18 11:15:00
66,143.5800,143.6100,143.2000,143.2000,52684,2023-01-18 11:10:00
67,143.5500,143.7300,143.4300,143.5700,67132,2023-01-18 11:05:00
68,143.5000,143.5900,143.2250,143.5800,85061,2023-01-18 11:00:00
69,143.5700,143.6400,143.4200,143.5059,48376,2023-01-18 10:55:00
70,143.4734,143.5900,143.3500,143.5800,45395,2023-01-18 10:50:00
71,143.4835,143.5600,143.3900,143.4750,46063,2023-01-18 10:45:00
72,143.0100,143.4800,142.9900,143.4610,46808,2023-01-18 10:40:00
73,143.1100,143.1200,142.9650,143.0000,68563,2023-01-18 10:35:00
74,143.0100,143.1600,142.9700,143.1300,53311,2023-01-18 10:30:00
75,143.0357,143.1400,142.9450,143.0300,49341,2023-01-18 10:25:00
76,143.3700,143.4700,142.9600,143.0300,48864,2023-01-18 10:20:00
77,143.3600,143.4100,143.0600,143.3800,53889,2023-01-18 10:15:00
78,143.2000,143.5600,143.1600,143.3700,128015,2023-01-18 10:10:00
79,143.2900,143.3800,142.9600,143.1900,138269,2023-01-18 10:05:00
80,143.5600,143.6100,143.2100,143.2900,75985,2023-01-18 10:00:00
81,143.3700,143.5400,143.1800,143.5334,108161,2023-01-18 09:55:00
82,143.6400,143.8050,143.3200,143.3500,114990,2023-01-18 09:50:00
83,143.9024,144.0600,143.5200,143.6250,143018,2023-01-18 09:45:00
84,143.9996,144.3850,143.6700,143.8850,141906,2023-01-18 09:40:00
85,144.4000,144.6780,143.9200,143.9950,404550,2023-01-18 09:35:00
86,143.7000,144.5800,143.7000,144.3800,7633,2023-01-18 09:30:00
87,143.6000,143.9000,143.6000,143.6500,3032,2023-01-18 09:25:00
88,143.8100,143.8100,143.3700,143.4200,4347,2023-01-18 09:20:00
89,143.6000,143.8800,143.5000,143.5600,6895,2023-01-18 09:15:00
90,143.5000,143.7700,143.5000,143.6800,6185,2023-01-18 09:10:00
91,143.0200,143.4000,143.0000,143.3500,6283,2023-01-18 09:05:00
92,143.1100,143.1100,142.9000,143.0000,4062,2023-01-18 09:00:00
93,142.9500,143.3500,142.9500,143.3500,876,2023-01-18 08:55:00
94,142.8800,142.9500,142.8800,142.9500,1119,2023-01-18 08:50:00
95,142.7700,142.7900,142.7000,142.7200,2721,2023-01-18 08:45:00
96,142.9700,142.9800,142.5500,142.6300,7531,2023-01-18 08:40:00
97,142.9900,143.1200,142.6100,142.9800,9476,2023-01-18 08:35:00
98,142.8100,142.9900,142.8100,142.9900,1405,2023-01-18 08:30:00
99,142.5700,142.8100,142.5700,142.7500,3173,2023-01-18 08:25:00
